,symbol,metric,value
5843,ROST,Avg. Volume,"1,972,301"
5844,ROST,Market Cap,37.52B
5845,ROST,Beta (5Y Monthly),1.03
5846,ROST,PE Ratio (TTM),23.78
5847,ROST,EPS (TTM),4.47
5848,ROST,Earnings Date,"Feb 28, 2022 - Mar 04, 2022"
5849,ROST,Forward Dividend & Yield,1.14 (1.07%)
5850,ROST,Ex-Dividend Date,"Dec 06, 2021"
5851,ROST,1y Target Est,136.35
5852,RCL,Previous Close,82.26
5853,RCL,Open,82.47
5854,RCL,Bid,83.34 x 1000
5855,RCL,Ask,83.16 x 1000
5856,RCL,Day's Range,82.37 - 85.32
5857,RCL,52 Week Range,64.20 - 99.24
5858,RCL,Volume,"4,114,778"
5859,RCL,Avg. Volume,"4,158,446"
5860,RCL,Market Cap,21.272B
5861,RCL,Beta (5Y Monthly),2.65
5862,RCL,PE Ratio (TTM),N/A
5863,RCL,EPS (TTM),-21.58
5864,RCL,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
5865,RCL,Forward Dividend & Yield,N/A (N/A)
5866,RCL,Ex-Dividend Date,"Mar 05, 2020"
5867,RCL,1y Target Est,96.17
5868,SPGI,Previous Close,447.84
5869,SPGI,Open,447.83
5870,SPGI,Bid,436.26 x 800
5871,SPGI,Ask,454.79 x 900
5872,SPGI,Day's Range,434.70 - 450.07
5873,SPGI,52 Week Range,303.50 - 484.21
5874,SPGI,Volume,"1,108,714"
5875,SPGI,Avg. Volume,"1,321,682"
5876,SPGI,Market Cap,105.141B
5877,SPGI,Beta (5Y Monthly),0.98
5878,SPGI,PE Ratio (TTM),37.61
5879,SPGI,EPS (TTM),11.60
5880,SPGI,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
5881,SPGI,Forward Dividend & Yield,3.08 (0.69%)
5882,SPGI,Ex-Dividend Date,"Nov 24, 2021"
5883,SPGI,1y Target Est,511.67
5884,CRM,Previous Close,237.83
5885,CRM,Open,237.50
5886,CRM,Bid,228.50 x 800
5887,CRM,Ask,228.63 x 800
5888,CRM,Day's Range,227.93 - 238.79
5889,CRM,52 Week Range,201.51 - 311.75
5890,CRM,Volume,"5,752,872"
5891,CRM,Avg. Volume,"5,792,073"
5892,CRM,Market Cap,225.201B
5893,CRM,Beta (5Y Monthly),1.05
5894,CRM,PE Ratio (TTM),125.76
5895,CRM,EPS (TTM),1.82
5896,CRM,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
5897,CRM,Forward Dividend & Yield,N/A (N/A)
5898,CRM,Ex-Dividend Date,N/A
5899,CRM,1y Target Est,324.13
5900,SBAC,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
5901,SLB,Previous Close,36.45
5902,SLB,Open,36.47
5903,SLB,Bid,36.11 x 1000
5904,SLB,Ask,36.18 x 800
5905,SLB,Day's Range,36.03 - 37.12
5906,SLB,52 Week Range,21.23 - 37.12
5907,SLB,Volume,"12,481,672"
5908,SLB,Avg. Volume,"11,285,726"
5909,SLB,Market Cap,50.733B
5910,SLB,Beta (5Y Monthly),2.30
5911,SLB,PE Ratio (TTM),31.07
5912,SLB,EPS (TTM),1.16
5913,SLB,Earnings Date,"Jan 21, 2022"
5914,SLB,Forward Dividend & Yield,0.50 (1.37%)
5915,SLB,Ex-Dividend Date,"Nov 30, 2021"
5916,SLB,1y Target Est,N/A
5917,STX,Previous Close,113.23
5918,STX,Open,114.00
5919,STX,Bid,110.75 x 1000
5920,STX,Ask,110.88 x 800
5921,STX,Day's Range,110.43 - 114.21
5922,STX,52 Week Range,58.35 - 117.67
5923,STX,Volume,"1,194,978"
5924,STX,Avg. Volume,"2,298,666"
5925,STX,Market Cap,24.677B
5926,STX,Beta (5Y Monthly),1.07
5927,STX,PE Ratio (TTM),16.31
5928,STX,EPS (TTM),6.80
5929,STX,Earnings Date,"Jan 19, 2022 - Jan 24, 2022"
5930,STX,Forward Dividend & Yield,2.80 (2.47%)
5931,STX,Ex-Dividend Date,"Dec 21, 2021"
5932,STX,1y Target Est,N/A
5933,SEE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
5934,SRE,Previous Close,138.21
5935,SRE,Open,138.50
5936,SRE,Bid,137.22 x 800
5937,SRE,Ask,139.00 x 1800
5938,SRE,Day's Range,136.99 - 138.90
5939,SRE,52 Week Range,114.66 - 144.93
5940,SRE,Volume,"1,562,370"
5941,SRE,Avg. Volume,"1,493,312"
5942,SRE,Market Cap,43.973B
5943,SRE,Beta (5Y Monthly),0.70
5944,SRE,PE Ratio (TTM),39.50
5945,SRE,EPS (TTM),3.49
5946,SRE,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
5947,SRE,Forward Dividend & Yield,4.40 (3.18%)
5948,SRE,Ex-Dividend Date,"Dec 22, 2021"
5949,SRE,1y Target Est,148.49
5950,NOW,Previous Close,573.39
5951,NOW,Open,575.02
5952,NOW,Bid,520.27 x 1000
5953,NOW,Ask,523.12 x 800
5954,NOW,Day's Range,520.00 - 575.84
5955,NOW,52 Week Range,448.27 - 707.60
5956,NOW,Volume,"3,842,664"
5957,NOW,Avg. Volume,"1,201,782"
5958,NOW,Market Cap,103.731B
5959,NOW,Beta (5Y Monthly),1.00
5960,NOW,PE Ratio (TTM),477.78
5961,NOW,EPS (TTM),1.09
5962,NOW,Earnings Date,"Jan 26, 2022"
5963,NOW,Forward Dividend & Yield,N/A (N/A)
5964,NOW,Ex-Dividend Date,N/A
5965,NOW,1y Target Est,730.31
5966,SHW,Previous Close,321.59
5967,SHW,Open,322.24
5968,SHW,Bid,317.30 x 1000
5969,SHW,Ask,316.89 x 1100
5970,SHW,Day's Range,316.64 - 324.50
5971,SHW,52 Week Range,218.06 - 354.15
5972,SHW,Volume,"982,333"
5973,SHW,Avg. Volume,"1,118,965"
5974,SHW,Market Cap,83.218B
5975,SHW,Beta (5Y Monthly),1.07
5976,SHW,PE Ratio (TTM),43.48
5977,SHW,EPS (TTM),7.30
5978,SHW,Earnings Date,"Jan 27, 2022"
5979,SHW,Forward Dividend & Yield,2.20 (0.68%)
5980,SHW,Ex-Dividend Date,"Nov 18, 2021"
5981,SHW,1y Target Est,348.14
5982,SBNY,Previous Close,353.24
5983,SBNY,Open,354.19
5984,SBNY,Bid,0.00 x 800
5985,SBNY,Ask,0.00 x 1000
5986,SBNY,Day's Range,344.76 - 361.76
5987,SBNY,52 Week Range,146.10 - 370.90
5988,SBNY,Volume,"634,253"
5989,SBNY,Avg. Volume,"968,660"
5990,SBNY,Market Cap,21.871B
5991,SBNY,Beta (5Y Monthly),1.89
5992,SBNY,PE Ratio (TTM),25.85
5993,SBNY,EPS (TTM),13.95
5994,SBNY,Earnings Date,"Jan 19, 2022 - Jan 24, 2022"
5995,SBNY,Forward Dividend & Yield,2.24 (0.62%)
5996,SBNY,Ex-Dividend Date,"Oct 28, 2021"
5997,SBNY,1y Target Est,378.28
5998,SPG,Previous Close,159.77
5999,SPG,Open,160.48
6000,SPG,Bid,158.50 x 1000
6001,SPG,Ask,160.29 x 900
6002,SPG,Day's Range,158.87 - 162.60
6003,SPG,52 Week Range,82.06 - 171.12
6004,SPG,Volume,"2,124,016"
6005,SPG,Avg. Volume,"2,143,669"
6006,SPG,Market Cap,52.678B
6007,SPG,Beta (5Y Monthly),1.52
6008,SPG,PE Ratio (TTM),25.95
6009,SPG,EPS (TTM),6.18
6010,SPG,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
6011,SPG,Forward Dividend & Yield,6.60 (4.13%)
6012,SPG,Ex-Dividend Date,"Dec 09, 2021"
6013,SPG,1y Target Est,172.17
6014,SWKS,Previous Close,156.11
6015,SWKS,Open,156.72
6016,SWKS,Bid,150.10 x 800
6017,SWKS,Ask,153.70 x 800
6018,SWKS,Day's Range,152.26 - 158.03
6019,SWKS,52 Week Range,142.00 - 204.00
6020,SWKS,Volume,"1,380,269"
6021,SWKS,Avg. Volume,"1,853,782"
6022,SWKS,Market Cap,25.241B
6023,SWKS,Beta (5Y Monthly),1.10
6024,SWKS,PE Ratio (TTM),17.01
6025,SWKS,EPS (TTM),8.97
6026,SWKS,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
6027,SWKS,Forward Dividend & Yield,2.24 (1.43%)
6028,SWKS,Ex-Dividend Date,"Nov 22, 2021"
6029,SWKS,1y Target Est,205.50
6030,SNA,Previous Close,209.94
6031,SNA,Open,209.84
6032,SNA,Bid,210.46 x 900
6033,SNA,Ask,210.88 x 800
6034,SNA,Day's Range,208.88 - 211.23
6035,SNA,52 Week Range,165.88 - 259.99
6036,SNA,Volume,"18,155"
6037,SNA,Avg. Volume,"404,670"
6038,SNA,Market Cap,11.297B
6039,SNA,Beta (5Y Monthly),1.22
6040,SNA,PE Ratio (TTM),14.40
6041,SNA,EPS (TTM),14.65
6042,SNA,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
6043,SNA,Forward Dividend & Yield,5.68 (2.71%)
6044,SNA,Ex-Dividend Date,"Nov 18, 2021"
6045,SNA,1y Target Est,236.25
6046,SEDG,Previous Close,248.91
6047,SEDG,Open,247.65
6048,SEDG,Bid,240.98 x 800
6049,SEDG,Ask,241.56 x 1100
6050,SEDG,Day's Range,241.00 - 253.16
6051,SEDG,52 Week Range,199.33 - 389.71
6052,SEDG,Volume,"627,863"
6053,SEDG,Avg. Volume,"891,265"
6054,SEDG,Market Cap,12.958B
6055,SEDG,Beta (5Y Monthly),1.01
6056,SEDG,PE Ratio (TTM),92.54
6057,SEDG,EPS (TTM),2.67
6058,SEDG,Earnings Date,"Feb 14, 2022 - Feb 18, 2022"
6059,SEDG,Forward Dividend & Yield,N/A (N/A)
6060,SEDG,Ex-Dividend Date,N/A
6061,SEDG,1y Target Est,346.86
6062,SO,Previous Close,68.36
6063,SO,Open,68.26
6064,SO,Bid,68.47 x 1200
6065,SO,Ask,68.90 x 1000
6066,SO,Day's Range,68.16 - 68.88
6067,SO,52 Week Range,56.69 - 68.88
6068,SO,Volume,"3,519,202"
6069,SO,Avg. Volume,"4,129,315"
6070,SO,Market Cap,72.681B
6071,SO,Beta (5Y Monthly),0.48
6072,SO,PE Ratio (TTM),24.48
6073,SO,EPS (TTM),2.80
6074,SO,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
6075,SO,Forward Dividend & Yield,2.64 (3.85%)
6076,SO,Ex-Dividend Date,"Nov 12, 2021"
6077,SO,1y Target Est,67.59
6078,LUV,Previous Close,45.21
6079,LUV,Open,45.32
6080,LUV,Bid,45.73 x 1000
6081,LUV,Ask,45.82 x 800
6082,LUV,Day's Range,45.24 - 46.49
6083,LUV,52 Week Range,38.66 - 64.75
6084,LUV,Volume,"6,926,798"
6085,LUV,Avg. Volume,"8,881,396"
6086,LUV,Market Cap,27.104B
6087,LUV,Beta (5Y Monthly),1.10
6088,LUV,PE Ratio (TTM),N/A
6089,LUV,EPS (TTM),-0.00
6090,LUV,Earnings Date,"Jan 27, 2022"
6091,LUV,Forward Dividend & Yield,N/A (N/A)
6092,LUV,Ex-Dividend Date,"Mar 03, 2020"
6093,LUV,1y Target Est,56.58
6094,SWK,Previous Close,193.00
6095,SWK,Open,194.32
6096,SWK,Bid,195.45 x 900
6097,SWK,Ask,195.54 x 800
6098,SWK,Day's Range,193.82 - 196.52
6099,SWK,52 Week Range,168.77 - 225.00
6100,SWK,Volume,"835,868"
6101,SWK,Avg. Volume,"1,285,792"
6102,SWK,Market Cap,31.86B
6103,SWK,Beta (5Y Monthly),1.39
6104,SWK,PE Ratio (TTM),17.69
6105,SWK,EPS (TTM),11.05
6106,SWK,Earnings Date,"Feb 01, 2022"
6107,SWK,Forward Dividend & Yield,3.16 (1.64%)
6108,SWK,Ex-Dividend Date,"Nov 30, 2021"
6109,SWK,1y Target Est,223.13
6110,SBUX,Previous Close,103.87
6111,SBUX,Open,104.15
6112,SBUX,Bid,102.40 x 800
6113,SBUX,Ask,102.50 x 800
6114,SBUX,Day's Range,102.09 - 104.67
6115,SBUX,52 Week Range,95.92 - 126.32
6116,SBUX,Volume,"9,401,391"
6117,SBUX,Avg. Volume,"7,292,073"
6118,SBUX,Market Cap,120.136B
6119,SBUX,Beta (5Y Monthly),0.82
6120,SBUX,PE Ratio (TTM),28.93
6121,SBUX,EPS (TTM),3.54
6122,SBUX,Earnings Date,"Feb 01, 2022"
6123,SBUX,Forward Dividend & Yield,1.96 (1.89%)
6124,SBUX,Ex-Dividend Date,"Feb 10, 2022"
6125,SBUX,1y Target Est,123.00
6126,STT,Previous Close,103.33
6127,STT,Open,103.56
6128,STT,Bid,102.41 x 800
6129,STT,Ask,103.20 x 1000
6130,STT,Day's Range,103.05 - 104.87
6131,STT,52 Week Range,69.02 - 104.87
6132,STT,Volume,"1,848,136"
6133,STT,Avg. Volume,"2,177,239"
6134,STT,Market Cap,37.821B
6135,STT,Beta (5Y Monthly),1.61
6136,STT,PE Ratio (TTM),15.24
6137,STT,EPS (TTM),6.79
6138,STT,Earnings Date,"Jan 19, 2022"
6139,STT,Forward Dividend & Yield,2.28 (2.21%)
6140,STT,Ex-Dividend Date,"Dec 31, 2021"
6141,STT,1y Target Est,116.93
6142,STE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6143,SYK,Previous Close,268.03
6144,SYK,Open,268.75
6145,SYK,Bid,264.04 x 800
6146,SYK,Ask,271.97 x 900
6147,SYK,Day's Range,267.09 - 271.87
6148,SYK,52 Week Range,220.90 - 281.16
6149,SYK,Volume,"1,002,228"
6150,SYK,Avg. Volume,"1,284,100"
6151,SYK,Market Cap,101.059B
6152,SYK,Beta (5Y Monthly),1.01
6153,SYK,PE Ratio (TTM),53.92
6154,SYK,EPS (TTM),4.97
6155,SYK,Earnings Date,"Jan 27, 2022"
6156,SYK,Forward Dividend & Yield,2.78 (1.04%)
6157,SYK,Ex-Dividend Date,"Dec 30, 2021"
6158,SYK,1y Target Est,288.78
6159,SIVB,Previous Close,737.77
6160,SIVB,Open,740.63
6161,SIVB,Bid,709.95 x 1000
6162,SIVB,Ask,710.69 x 900
6163,SIVB,Day's Range,705.61 - 743.97
6164,SIVB,52 Week Range,435.77 - 763.22
6165,SIVB,Volume,"352,412"
6166,SIVB,Avg. Volume,"334,914"
6167,SIVB,Market Cap,41.764B
6168,SIVB,Beta (5Y Monthly),1.87
6169,SIVB,PE Ratio (TTM),21.83
6170,SIVB,EPS (TTM),32.60
6171,SIVB,Earnings Date,"Jan 20, 2022"
6172,SIVB,Forward Dividend & Yield,N/A (N/A)
6173,SIVB,Ex-Dividend Date,"Feb 10, 1992"
6174,SIVB,1y Target Est,839.95
6175,SYF,Previous Close,49.03
6176,SYF,Open,49.33
6177,SYF,Bid,49.34 x 1300
6178,SYF,Ask,49.35 x 900
6179,SYF,Day's Range,49.31 - 50.20
6180,SYF,52 Week Range,33.41 - 52.49
6181,SYF,Volume,"4,049,339"
6182,SYF,Avg. Volume,"5,180,798"
6183,SYF,Market Cap,27.067B
6184,SYF,Beta (5Y Monthly),1.67
6185,SYF,PE Ratio (TTM),7.00
6186,SYF,EPS (TTM),7.07
6187,SYF,Earnings Date,"Jan 28, 2022"
6188,SYF,Forward Dividend & Yield,0.88 (1.79%)
6189,SYF,Ex-Dividend Date,"Oct 29, 2021"
6190,SYF,1y Target Est,58.68
6191,SNPS,Previous Close,338.59
6192,SNPS,Open,340.42
6193,SNPS,Bid,305.80 x 800
6194,SNPS,Ask,353.61 x 900
6195,SNPS,Day's Range,326.45 - 342.87
6196,SNPS,52 Week Range,217.69 - 377.60
6197,SNPS,Volume,"803,256"
6198,SNPS,Avg. Volume,"723,704"
6199,SNPS,Market Cap,50.252B
6200,SNPS,Beta (5Y Monthly),1.13
6201,SNPS,PE Ratio (TTM),68.09
6202,SNPS,EPS (TTM),4.81
6203,SNPS,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
6204,SNPS,Forward Dividend & Yield,N/A (N/A)
6205,SNPS,Ex-Dividend Date,N/A
6206,SNPS,1y Target Est,392.59
6207,SYY,Previous Close,78.19
6208,SYY,Open,78.66
6209,SYY,Bid,80.29 x 900
6210,SYY,Ask,80.30 x 900
6211,SYY,Day's Range,78.58 - 80.98
6212,SYY,52 Week Range,68.05 - 86.73
6213,SYY,Volume,"1,934,759"
6214,SYY,Avg. Volume,"2,514,093"
6215,SYY,Market Cap,41.228B
6216,SYY,Beta (5Y Monthly),1.36
6217,SYY,PE Ratio (TTM),60.38
6218,SYY,EPS (TTM),1.33
6219,SYY,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
6220,SYY,Forward Dividend & Yield,1.88 (2.40%)
6221,SYY,Ex-Dividend Date,"Jan 06, 2022"
6222,SYY,1y Target Est,89.36
6223,TMUS,Previous Close,110.85
6224,TMUS,Open,111.17
6225,TMUS,Bid,109.51 x 1000
6226,TMUS,Ask,110.47 x 900
6227,TMUS,Day's Range,109.56 - 112.00
6228,TMUS,52 Week Range,104.10 - 150.20
6229,TMUS,Volume,"4,057,179"
6230,TMUS,Avg. Volume,"5,304,690"
6231,TMUS,Market Cap,137.545B
6232,TMUS,Beta (5Y Monthly),0.53
6233,TMUS,PE Ratio (TTM),41.40
6234,TMUS,EPS (TTM),2.66
6235,TMUS,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
6236,TMUS,Forward Dividend & Yield,N/A (N/A)
6237,TMUS,Ex-Dividend Date,"May 01, 2013"
6238,TMUS,1y Target Est,167.43
6239,TROW,Previous Close,180.83
6240,TROW,Open,181.45
6241,TROW,Bid,177.00 x 800
6242,TROW,Ask,177.08 x 1100
6243,TROW,Day's Range,176.86 - 182.29
6244,TROW,52 Week Range,154.20 - 224.56
6245,TROW,Volume,"1,847,125"
6246,TROW,Avg. Volume,"1,058,668"
6247,TROW,Market Cap,40.639B
6248,TROW,Beta (5Y Monthly),1.20
6249,TROW,PE Ratio (TTM),13.36
6250,TROW,EPS (TTM),13.27
6251,TROW,Earnings Date,"Jan 27, 2022"
6252,TROW,Forward Dividend & Yield,4.32 (2.39%)
6253,TROW,Ex-Dividend Date,"Dec 15, 2021"
6254,TROW,1y Target Est,204.55
6255,TTWO,Previous Close,156.06
6256,TTWO,Open,156.51
6257,TTWO,Bid,153.44 x 800
6258,TTWO,Ask,155.00 x 3100
6259,TTWO,Day's Range,154.03 - 156.59
6260,TTWO,52 Week Range,138.19 - 214.91
6261,TTWO,Volume,"2,820,801"
6262,TTWO,Avg. Volume,"1,471,077"
6263,TTWO,Market Cap,17.87B
6264,TTWO,Beta (5Y Monthly),0.62
6265,TTWO,PE Ratio (TTM),32.02
6266,TTWO,EPS (TTM),4.84
6267,TTWO,Earnings Date,"Feb 07, 2022"
6268,TTWO,Forward Dividend & Yield,N/A (N/A)
6269,TTWO,Ex-Dividend Date,N/A
6270,TTWO,1y Target Est,208.14
6271,TPR,Previous Close,38.55
6272,TPR,Open,38.67
6273,TPR,Bid,39.06 x 1000
6274,TPR,Ask,39.19 x 800
6275,TPR,Day's Range,38.45 - 39.72
6276,TPR,52 Week Range,30.24 - 49.67
6277,TPR,Volume,"2,550,814"
6278,TPR,Avg. Volume,"3,384,703"
6279,TPR,Market Cap,10.794B
6280,TPR,Beta (5Y Monthly),1.49
6281,TPR,PE Ratio (TTM),13.43
6282,TPR,EPS (TTM),2.92
6283,TPR,Earnings Date,"Feb 10, 2022"
6284,TPR,Forward Dividend & Yield,1.00 (2.59%)
6285,TPR,Ex-Dividend Date,"Dec 02, 2021"
6286,TPR,1y Target Est,55.62
6287,TGT,Previous Close,224.47
6288,TGT,Open,225.28
6289,TGT,Bid,225.97 x 800
6290,TGT,Ask,225.28 x 900
6291,TGT,Day's Range,223.75 - 226.79
6292,TGT,52 Week Range,166.83 - 268.98
6293,TGT,Volume,"3,034,939"
6294,TGT,Avg. Volume,"3,694,238"
6295,TGT,Market Cap,108.201B
6296,TGT,Beta (5Y Monthly),1.01
6297,TGT,PE Ratio (TTM),16.62
6298,TGT,EPS (TTM),13.59
6299,TGT,Earnings Date,"Feb 28, 2022 - Mar 04, 2022"
6300,TGT,Forward Dividend & Yield,3.60 (1.60%)
6301,TGT,Ex-Dividend Date,"Nov 16, 2021"
6302,TGT,1y Target Est,283.52
6303,TEL,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6304,TDY,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6305,TFX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
6306,TER,Previous Close,162.90
6307,TER,Open,165.61
6308,TER,Bid,156.78 x 800
6309,TER,Ask,159.95 x 800
6310,TER,Day's Range,157.44 - 167.69
6311,TER,52 Week Range,104.05 - 168.91
6312,TER,Volume,"1,170,856"
6313,TER,Avg. Volume,"1,493,676"
6314,TER,Market Cap,25.795B
6315,TER,Beta (5Y Monthly),1.38
6316,TER,PE Ratio (TTM),29.81
6317,TER,EPS (TTM),5.31
6318,TER,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
6319,TER,Forward Dividend & Yield,0.40 (0.25%)
6320,TER,Ex-Dividend Date,"Nov 23, 2021"
6321,TER,1y Target Est,163.85
6322,TSLA,Previous Close,"1,106.22"
6323,TSLA,Open,"1,109.06"
6324,TSLA,Bid,"1,029.10 x 800"
6325,TSLA,Ask,"1,029.50 x 1100"
6326,TSLA,Day's Range,"1,026.54 - 1,115.60"
6327,TSLA,52 Week Range,"539.49 - 1,243.49"
6328,TSLA,Volume,"32,164,932"
6329,TSLA,Avg. Volume,"27,838,355"
6330,TSLA,Market Cap,1.036T
6331,TSLA,Beta (5Y Monthly),1.98
6332,TSLA,PE Ratio (TTM),336.89
6333,TSLA,EPS (TTM),3.06
6334,TSLA,Earnings Date,"Jan 26, 2022"
6335,TSLA,Forward Dividend & Yield,N/A (N/A)
6336,TSLA,Ex-Dividend Date,N/A
6337,TSLA,1y Target Est,924.95
6338,TXN,Previous Close,184.64
6339,TXN,Open,186.00
6340,TXN,Bid,184.30 x 900
6341,TXN,Ask,185.97 x 800
6342,TXN,Day's Range,184.41 - 187.34
6343,TXN,52 Week Range,161.67 - 202.26
6344,TXN,Volume,"3,794,946"
6345,TXN,Avg. Volume,"4,565,125"
6346,TXN,Market Cap,171.804B
6347,TXN,Beta (5Y Monthly),0.92
6348,TXN,PE Ratio (TTM),23.89
6349,TXN,EPS (TTM),7.79
6350,TXN,Earnings Date,"Jan 25, 2022"
6351,TXN,Forward Dividend & Yield,4.60 (2.49%)
6352,TXN,Ex-Dividend Date,"Oct 29, 2021"
6353,TXN,1y Target Est,203.75
6354,TXT,Previous Close,76.88
6355,TXT,Open,77.03
6356,TXT,Bid,76.94 x 800
6357,TXT,Ask,77.54 x 800
6358,TXT,Day's Range,76.74 - 78.14
6359,TXT,52 Week Range,44.36 - 79.45
6360,TXT,Volume,"702,591"
6361,TXT,Avg. Volume,"1,114,903"
6362,TXT,Market Cap,16.997B
6363,TXT,Beta (5Y Monthly),1.75
6364,TXT,PE Ratio (TTM),22.68
6365,TXT,EPS (TTM),3.40
6366,TXT,Earnings Date,"Jan 27, 2022"
6367,TXT,Forward Dividend & Yield,0.08 (0.10%)
6368,TXT,Ex-Dividend Date,"Dec 09, 2021"
6369,TXT,1y Target Est,N/A
6370,TMO,Previous Close,620.50
6371,TMO,Open,618.68
6372,TMO,Bid,623.01 x 1000
6373,TMO,Ask,625.50 x 1000
6374,TMO,Day's Range,618.68 - 631.89
6375,TMO,52 Week Range,433.52 - 672.34
6376,TMO,Volume,"1,314,664"
6377,TMO,Avg. Volume,"1,347,719"
6378,TMO,Market Cap,246.359B
6379,TMO,Beta (5Y Monthly),0.74
6380,TMO,PE Ratio (TTM),29.02
6381,TMO,EPS (TTM),21.54
6382,TMO,Earnings Date,"Feb 02, 2022"
6383,TMO,Forward Dividend & Yield,1.04 (0.17%)
6384,TMO,Ex-Dividend Date,"Dec 14, 2021"
6385,TMO,1y Target Est,691.41
6386,TJX,Previous Close,73.41
6387,TJX,Open,74.05
6388,TJX,Bid,71.90 x 1100
6389,TJX,Ask,74.38 x 3100
6390,TJX,Day's Range,72.36 - 74.14
6391,TJX,52 Week Range,61.15 - 77.35
6392,TJX,Volume,"6,034,002"
6393,TJX,Avg. Volume,"6,527,207"
6394,TJX,Market Cap,86.615B
6395,TJX,Beta (5Y Monthly),0.96
6396,TJX,PE Ratio (TTM),33.51
6397,TJX,EPS (TTM),2.17
6398,TJX,Earnings Date,"Feb 22, 2022 - Feb 28, 2022"
6399,TJX,Forward Dividend & Yield,1.04 (1.42%)
6400,TJX,Ex-Dividend Date,"Feb 09, 2022"
6401,TJX,1y Target Est,85.96
6402,TSCO,Previous Close,228.91
6403,TSCO,Open,231.60
6404,TSCO,Bid,231.02 x 800
6405,TSCO,Ask,231.04 x 800
6406,TSCO,Day's Range,229.96 - 234.30
6407,TSCO,52 Week Range,139.11 - 239.86
6408,TSCO,Volume,"512,912"
6409,TSCO,Avg. Volume,"697,539"
6410,TSCO,Market Cap,26.267B
6411,TSCO,Beta (5Y Monthly),0.91
6412,TSCO,PE Ratio (TTM),29.51
6413,TSCO,EPS (TTM),7.82
6414,TSCO,Earnings Date,"Jan 27, 2022"
6415,TSCO,Forward Dividend & Yield,2.08 (0.91%)
6416,TSCO,Ex-Dividend Date,"Nov 19, 2021"
6417,TSCO,1y Target Est,231.04
6418,TT,Previous Close,194.85
6419,TT,Open,195.04
6420,TT,Bid,194.96 x 800
6421,TT,Ask,194.97 x 900
6422,TT,Day's Range,193.80 - 196.36
6423,TT,52 Week Range,137.98 - 207.06
6424,TT,Volume,"1,671,572"
6425,TT,Avg. Volume,"1,152,438"
6426,TT,Market Cap,46.32B
6427,TT,Beta (5Y Monthly),1.22
6428,TT,PE Ratio (TTM),35.06
6429,TT,EPS (TTM),5.56
6430,TT,Earnings Date,"Feb 03, 2022 - Feb 07, 2022"
6431,TT,Forward Dividend & Yield,2.36 (1.21%)
6432,TT,Ex-Dividend Date,"Dec 02, 2021"
6433,TT,1y Target Est,N/A
6434,TDG,Previous Close,636.28
6435,TDG,Open,638.92
6436,TDG,Bid,638.66 x 1000
6437,TDG,Ask,640.51 x 1100
6438,TDG,Day's Range,631.62 - 643.39
6439,TDG,52 Week Range,517.37 - 688.03
6440,TDG,Volume,"194,185"
6441,TDG,Avg. Volume,"291,782"
6442,TDG,Market Cap,35.387B
6443,TDG,Beta (5Y Monthly),1.57
6444,TDG,PE Ratio (TTM),61.62
6445,TDG,EPS (TTM),10.39
6446,TDG,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
6447,TDG,Forward Dividend & Yield,N/A (N/A)
6448,TDG,Ex-Dividend Date,"Dec 27, 2019"
6449,TDG,1y Target Est,726.31
6450,TRV,Previous Close,164.06
6451,TRV,Open,164.71
6452,TRV,Bid,0.00 x 800
6453,TRV,Ask,0.00 x 1100
6454,TRV,Day's Range,160.44 - 164.84
6455,TRV,52 Week Range,135.87 - 168.31
6456,TRV,Volume,"903,843"
6457,TRV,Avg. Volume,"1,402,033"
6458,TRV,Market Cap,40.139B
6459,TRV,Beta (5Y Monthly),0.78
6460,TRV,PE Ratio (TTM),11.42
6461,TRV,EPS (TTM),14.28
6462,TRV,Earnings Date,"Jan 20, 2022"
6463,TRV,Forward Dividend & Yield,3.52 (2.12%)
6464,TRV,Ex-Dividend Date,"Dec 09, 2021"
6465,TRV,1y Target Est,165.06
6466,TRMB,Previous Close,79.14
6467,TRMB,Open,77.98
6468,TRMB,Bid,76.91 x 800
6469,TRMB,Ask,76.95 x 1100
6470,TRMB,Day's Range,76.20 - 78.00
6471,TRMB,52 Week Range,65.37 - 96.49
6472,TRMB,Volume,"646,658"
